receiver positions
244
33.6 -35.5 1.5
33.6 -36.0 1.5
33.6 -36.5 1.5
33.6 -37.0 1.5
33.6 -37.5 1.5
33.6 -38.0 1.5
33.6 -38.5 1.5
33.6 -39.0 1.5
33.6 -39.5 1.5
33.6 -40.0 1.5
33.6 -40.5 1.5
33.6 -41.0 1.5
33.6 -41.5 1.5
33.6 -42.0 1.5
33.6 -42.5 1.5
33.6 -43.0 1.5
33.6 -43.5 1.5
33.6 -44.0 1.5
